PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON,index
Mike Bibby,PG,31,ATL,80,2195,12.7,.538,.503,.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,,3.0,1.7,4.8,.104,,0.1,-0.2,-0.2,1.0,2009-10,MikeBibby2009-10
Jason Collins,C,31,ATL,24,115,0.9,.335,.043,.087,5.0,9.2,7.1,4.8,1.4,1.3,17.3,11.6,,-0.2,0.1,-0.1,-0.044,,-8.3,-0.5,-8.8,-0.2,2009-10,JasonCollins2009-10
Jamal Crawford,SG,29,ATL,79,2460,18.4,.573,.386,.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,,5.6,1.7,7.3,.143,,3.5,-1.1,2.4,2.7,2009-10,JamalCrawford2009-10
Maurice Evans,SF,31,ATL,79,1317,12.2,.539,.430,.155,5.2,8.5,6.8,5.5,1.4,1.0,4.5,15.4,,2.1,1.1,3.1,.114,,-0.4,-0.6,-0.9,0.4,2009-10,MauriceEvans2009-10
Al Horford,C,23,ATL,81,2845,19.4,.594,.001,.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,,6.9,3.9,10.9,.183,,1.8,0.5,2.3,3.1,2009-10,AlHorford2009-10
Othello Hunter,SF,23,ATL,7,33,7.9,.400,.000,.333,21.0,21.4,21.2,0.0,0.0,2.3,17.9,23.4,,-0.1,0.0,0.0,-0.031,,-7.0,-4.9,-11.9,-0.1,2009-10,OthelloHunter2009-10
Joe Johnson,SG,28,ATL,76,2886,19.3,.538,.253,.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,,6.0,2.4,8.4,.140,,3.4,-0.7,2.7,3.4,2009-10,JoeJohnson2009-10
Randolph Morris,PF,24,ATL,28,124,14.6,.586,.000,.659,9.3,26.6,17.9,2.6,2.1,1.8,18.5,24.1,,0.1,0.2,0.3,.108,,-5.9,-0.1,-6.0,-0.1,2009-10,RandolphMorris2009-10
Zaza Pachulia,C,25,ATL,78,1089,13.1,.539,.016,.581,12.4,19.0,15.7,5.6,1.8,2.2,15.8,15.5,,1.2,1.5,2.7,.121,,-2.7,0.2,-2.5,-0.1,2009-10,ZazaPachulia2009-10
Joe Smith,PF,34,ATL,64,592,11.2,.453,.036,.249,12.9,18.1,15.5,5.3,0.5,2.4,9.3,18.4,,0.3,0.6,0.9,.077,,-3.8,-1.6,-5.5,-0.5,2009-10,JoeSmith2009-10
Josh Smith,PF,24,ATL,81,2871,21.0,.536,.007,.422,9.0,19.8,14.3,19.0,2.4,4.5,14.3,22.2,,4.2,5.1,9.3,.155,,2.4,2.7,5.1,5.1,2009-10,JoshSmith2009-10
Jeff Teague,PG,21,ATL,71,719,11.0,.459,.141,.216,0.8,10.2,5.4,25.1,2.5,1.2,16.7,19.1,,-0.2,0.8,0.6,.042,,-3.8,0.3,-3.6,-0.3,2009-10,JeffTeague2009-10
Mario West,SG,25,ATL,39,142,9.9,.591,.048,.476,6.5,15.8,11.1,8.8,3.0,0.0,21.6,10.5,,0.1,0.2,0.3,.106,,-4.5,2.4,-2.1,0.0,2009-10,MarioWest2009-10
Marvin Williams,SF,23,ATL,81,2468,13.0,.540,.199,.324,5.0,14.8,9.8,5.6,1.4,1.4,8.7,15.5,,3.1,2.6,5.7,.112,,-0.4,0.1,-0.4,1.0,2009-10,MarvinWilliams2009-10
Rafer Alston,PG,33,NJN,27,766,8.7,.436,.314,.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,,-1.2,0.4,-0.8,-0.051,,-3.0,-1.1,-4.0,-0.4,2009-10,RaferAlston2009-10
Tony Battie,C,33,NJN,15,134,6.1,.405,.100,.250,3.3,17.1,9.9,3.7,1.6,1.1,6.3,16.2,,-0.1,0.1,0.0,-0.014,,-6.2,-1.8,-8.0,-0.2,2009-10,TonyBattie2009-10
Josh Boone,PF,25,NJN,63,1045,13.7,.509,.000,.260,13.1,22.0,17.4,4.6,1.5,3.4,13.0,12.5,,0.7,1.1,1.8,.084,,-1.8,-0.2,-2.0,0.0,2009-10,JoshBoone2009-10
Keyon Dooling,PG,29,NJN,53,971,11.6,.519,.485,.188,0.9,5.7,3.2,24.0,1.8,0.0,14.4,19.4,,0.4,0.3,0.7,.035,,-1.2,-1.6,-2.8,-0.2,2009-10,KeyonDooling2009-10
ChrisDouglas-Roberts,SF,23,NJN,67,1730,11.5,.512,.094,.274,2.9,10.7,6.6,9.5,1.7,0.8,13.1,19.6,,-0.2,0.9,0.7,.020,,-2.2,-0.9,-3.2,-0.5,2009-10,ChrisDouglas-Roberts2009-10
Devin Harris,PG,26,NJN,64,2221,16.2,.512,.245,.437,1.2,9.7,5.3,34.6,1.9,0.6,14.7,25.5,,1.5,1.2,2.7,.057,,0.7,-1.5,-0.8,0.7,2009-10,DevinHarris2009-10
Trenton Hassell,SF,30,NJN,52,1106,6.5,.465,.023,.315,5.6,10.5,7.9,7.2,0.8,0.6,15.9,12.3,,-0.4,0.3,-0.1,-0.003,,-4.2,-1.1,-5.3,-0.9,2009-10,TrentonHassell2009-10
Jarvis Hayes,SF,28,NJN,45,1033,9.7,.521,.546,.055,1.0,11.5,6.0,6.7,1.5,0.6,7.7,16.2,,0.3,0.5,0.8,.038,,-2.2,-0.7,-2.9,-0.2,2009-10,JarvisHayes2009-10
Kris Humphries,PF,24,NJN,44,906,15.1,.498,.003,.498,10.0,26.7,18.0,4.8,1.7,3.0,12.9,20.8,,0.1,1.1,1.3,.066,,-2.6,-0.9,-3.5,-0.3,2009-10,KrisHumphries2009-10
Yi Jianlian,PF,22,NJN,52,1655,12.3,.481,.073,.343,7.7,18.7,13.0,4.9,1.2,2.3,10.6,20.1,,0.0,1.3,1.3,.037,,-2.8,-1.3,-4.1,-0.9,2009-10,YiJianlian2009-10
Courtney Lee,SG,24,NJN,71,2375,12.8,.525,.290,.197,2.8,9.7,6.1,9.0,2.1,0.6,8.3,17.7,,1.8,1.3,3.1,.063,,-1.0,-0.4,-1.4,0.4,2009-10,CourtneyLee2009-10
