PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
Mike Bibby,PG,31,ATL,80,80,2195,6.5,15.6,0.416,3.1,7.9,0.389,3.4,7.8,0.444,1.7,1.9,0.861,0.5,4.0,4.5,7.5,1.6,0.1,2.2,3.8,17.7,,113.0,110.0,2009-10,MikeBibby2009-10
Jason Collins,C,31,ATL,24,0,115,3.7,10.7,0.348,0.0,0.5,0.0,3.7,10.2,0.364,0.0,0.9,0.0,2.3,4.2,6.5,1.9,1.4,0.9,2.3,9.7,7.4,,73.0,109.0,2009-10,JasonCollins2009-10
Jamal Crawford,SG,29,ATL,79,0,2460,10.7,23.9,0.449,3.5,9.2,0.382,7.2,14.7,0.491,5.8,6.8,0.857,0.7,3.6,4.4,5.2,1.3,0.3,3.0,2.9,30.9,,114.0,110.0,2009-10,JamalCrawford2009-10
Maurice Evans,SF,31,ATL,79,5,1317,7.1,15.9,0.445,2.3,6.8,0.337,4.8,9.1,0.527,1.9,2.5,0.754,2.4,3.8,6.2,1.9,1.4,0.7,0.8,5.1,18.3,,117.0,109.0,2009-10,MauriceEvans2009-10
Al Horford,C,23,ATL,81,81,2845,8.7,15.9,0.551,0.0,0.0,1.0,8.7,15.8,0.551,4.0,5.1,0.789,4.4,10.5,15.0,3.5,1.1,1.7,2.3,4.2,21.5,,121.0,105.0,2009-10,AlHorford2009-10
Othello Hunter,SF,23,ATL,7,0,33,6.5,19.4,0.333,0.0,0.0,,6.5,19.4,0.333,4.8,6.5,0.75,9.7,9.7,19.4,0.0,0.0,1.6,4.8,8.1,17.8,,88.0,107.0,2009-10,OthelloHunter2009-10
Joe Johnson,SG,28,ATL,76,76,2886,11.7,25.6,0.458,2.4,6.5,0.369,9.3,19.1,0.488,4.1,5.0,0.818,1.4,5.1,6.5,6.8,1.5,0.1,2.7,2.7,29.9,,112.0,109.0,2009-10,JoeJohnson2009-10
Randolph Morris,PF,24,ATL,28,0,124,9.9,17.6,0.561,0.0,0.0,,9.9,17.6,0.561,6.9,11.6,0.593,4.3,12.0,16.3,0.9,2.1,1.3,5.2,14.6,26.6,,102.0,101.0,2009-10,RandolphMorris2009-10
Zaza Pachulia,C,25,ATL,78,1,1089,5.9,12.0,0.488,0.0,0.2,0.0,5.9,11.8,0.496,4.5,7.0,0.65,5.7,8.6,14.3,2.1,1.8,1.5,2.8,9.1,16.3,,110.0,104.0,2009-10,ZazaPachulia2009-10
Joe Smith,PF,34,ATL,64,1,592,6.9,17.4,0.399,0.1,0.6,0.143,6.8,16.7,0.409,3.5,4.3,0.813,5.9,8.2,14.1,1.9,0.5,1.7,2.0,8.5,17.5,,104.0,107.0,2009-10,JoeSmith2009-10
Josh Smith,PF,24,ATL,81,81,2871,9.4,18.5,0.505,0.0,0.1,0.0,9.4,18.4,0.508,4.8,7.8,0.618,4.1,8.9,13.1,6.3,2.4,3.2,3.7,4.5,23.5,,109.0,101.0,2009-10,JoshSmith2009-10
Jeff Teague,PG,21,ATL,71,3,719,6.7,16.8,0.396,0.5,2.4,0.219,6.1,14.4,0.426,3.0,3.6,0.837,0.4,4.6,5.0,9.0,2.5,0.8,3.7,6.1,16.9,,96.0,106.0,2009-10,JeffTeague2009-10
Mario West,SG,25,ATL,39,1,142,4.5,7.9,0.571,0.0,0.4,0.0,4.5,7.5,0.6,2.3,3.8,0.6,3.0,7.1,10.1,3.4,3.0,0.0,2.6,9.4,11.3,,110.0,104.0,2009-10,MarioWest2009-10
Marvin Williams,SF,23,ATL,81,81,2468,6.5,14.3,0.455,0.9,2.8,0.303,5.7,11.5,0.492,3.8,4.6,0.819,2.3,6.7,9.0,2.0,1.4,1.0,1.6,3.5,17.7,,113.0,107.0,2009-10,MarvinWilliams2009-10
Rafer Alston,PG,33,NJN,27,13,766,6.5,19.0,0.343,1.9,6.0,0.322,4.6,13.0,0.353,3.0,3.7,0.815,0.6,4.5,5.1,7.1,1.9,0.3,4.2,3.4,18.0,,87.0,112.0,2009-10,RaferAlston2009-10
